weibo_id,file,meta_total_retweets,meta_crawled_retweets,coverage,log_meta_crawled_retweets,root_log_followers,root_verified,root_verified_type,pub_hour,pub_weekday,pub_is_weekend,pub_is_night,n_obs,time_to_5h,time_to_10h,time_to_20h,interval_mean,interval_std,interval_min,interval_max,interval_burstiness,interval_q10,interval_q50,interval_q90,bin_inc_1,bin_cum_1,bin_inc_2,bin_cum_2,bin_inc_3,bin_cum_3,bin_inc_4,bin_cum_4,bin_inc_5,bin_cum_5,bin_inc_6,bin_cum_6,bin_inc_7,bin_cum_7,bin_inc_8,bin_cum_8,bin_inc_9,bin_cum_9,bin_inc_10,bin_cum_10,bin_inc_11,bin_cum_11,bin_inc_12,bin_cum_12,max_depth,mean_depth,depth_entropy,max_out_degree,top5_mean_out_degree,gini_out_degree,hhi_out_degree,max_log_followers,mean_log_followers,top5_mean_log_followers,time_of_max_follower_h,verified_ratio,verified_early10
5241187755102304,retweet_tree_5241187755102304.json,284.0,261.0,0.9190140845070423,5.568344503761097,16.25275048728358,1,7,12,6,1,0,96,0.03388888888888889,0.042777777777777776,0.09222222222222222,72.3157894736842,108.44588882629023,0.0,593.0,0.1998769855004778,4.0,31.0,181.60000000000005,31,31,15,46,11,57,9,66,4,70,11,81,1,82,3,85,3,88,3,91,2,93,3,96,1,1.0,-1.000088900581841e-12,96.0,96.0,0.0,0.9999999999999793,0.0,0.0,0.0,0.005,0.0,0.0
5241326197016326,retweet_tree_5241326197016326.json,387.0,361.0,0.9328165374677002,5.8916442118257715,9.768755439335086,1,0,21,6,1,0,223,0.014166666666666666,0.02,0.03166666666666667,31.38738738738739,53.631403193367696,0.0,374.0,0.2616364647630671,1.0,13.0,76.80000000000001,82,82,27,109,23,132,17,149,14,163,17,180,16,196,10,206,3,209,4,213,6,219,4,223,3,1.0493273542600896,0.19761906969867252,213.0,44.6,0.7713004484304933,0.9133704679362064,0.0,0.0,0.0,0.008333333333333333,0.0,0.0
5241351295992171,retweet_tree_5241351295992171.json,105.0,105.0,1.0,4.663439094112067,8.09346227450118,1,0,22,6,1,1,84,0.07277777777777777,0.10416666666666667,0.12805555555555556,67.06024096385542,153.93813100806176,1.0,1333.0,0.3931155205760798,5.200000000000001,32.0,124.8,27,27,11,38,7,45,17,62,12,74,4,78,4,82,1,83,0,83,1,84,0,84,0,84,1,1.0,-1.000088900581841e-12,84.0,84.0,0.0,0.9999999999999762,0.0,0.0,0.0,0.021388888888888888,0.0,0.0
5241352388615849,retweet_tree_5241352388615849.json,420.0,408.0,0.9714285714285714,6.013715156042802,9.384461732204798,1,0,22,6,1,1,315,0.050277777777777775,0.06166666666666667,0.0725,22.46496815286624,49.51028055919237,0.0,465.0,0.3757585126870844,1.0,7.0,54.39999999999998,65,65,98,163,49,212,32,244,22,266,15,281,6,287,9,296,6,302,8,310,3,313,2,315,2,1.0031746031746032,0.021431694140485274,314.0,157.5,0.49682539682539684,0.9936709498614196,0.0,0.0,0.0,0.022222222222222223,0.0,0.0
5241507953249555,retweet_tree_5241507953249555.json,373.0,327.0,0.8766756032171582,5.793013608384144,14.164156959231414,1,0,9,0,0,0,140,0.023333333333333334,0.04055555555555555,0.07888888888888888,51.52517985611511,65.37532270828387,0.0,432.0,0.11847804370677449,3.8000000000000007,26.0,123.20000000000002,36,36,11,47,16,63,19,82,8,90,7,97,8,105,8,113,6,119,8,127,3,130,10,140,1,1.0,-1.000088900581841e-12,140.0,140.0,0.0,0.9999999999999858,0.0,0.0,0.0,0.009166666666666667,0.0,0.0
5241551400733911,retweet_tree_5241551400733911.json,207.0,193.0,0.9323671497584541,5.267858159063328,16.25275267232504,1,7,12,0,0,0,84,0.041944444444444444,0.06833333333333333,0.11027777777777778,84.34939759036145,140.85765127008133,1.0,740.0,0.2509168960991854,4.0,30.0,199.79999999999998,30,30,21,51,8,59,7,66,4,70,4,74,1,75,3,78,2,80,2,82,1,83,1,84,1,1.0,-1.000088900581841e-12,84.0,84.0,0.0,0.9999999999999762,0.0,0.0,0.0,0.02361111111111111,0.0,0.0
5241614601556048,retweet_tree_5241614601556048.json,204.0,188.0,0.9215686274509803,5.241747015059643,7.364547014255642,1,0,16,0,0,0,109,0.07194444444444445,0.10722222222222222,0.2577777777777778,64.97222222222223,80.26593049834676,1.0,465.0,0.10530090055296194,4.700000000000001,36.5,162.2,14,14,14,28,11,39,29,68,7,75,11,86,3,89,6,95,5,100,2,102,4,106,3,109,2,1.018348623853211,0.09154072948820931,107.0,54.5,0.4816513761467891,0.9639760962881735,0.0,0.0,0.0,0.01638888888888889,0.0,0.0
5241614681245028,retweet_tree_5241614681245028.json,338.0,314.0,0.9289940828402367,5.752572638825633,8.709134991587183,1,0,16,0,0,0,107,0.026111111111111113,0.0675,0.09083333333333334,65.06603773584905,169.95911100203585,0.0,1371.0,0.4463057414471431,3.0,22.5,111.5,31,31,26,57,19,76,6,82,3,85,0,85,1,86,0,86,2,88,10,98,5,103,4,107,1,1.0,-1.000088900581841e-12,107.0,107.0,0.0,0.9999999999999813,0.0,0.0,0.0,0.01138888888888889,0.0,0.0
5241662401943044,retweet_tree_5241662401943044.json,629.0,543.0,0.863275039745628,6.298949246855942,5.455321115357702,0,-1,19,0,0,0,181,0.12638888888888888,0.23833333333333334,0.38222222222222224,38.87777777777778,45.593939114213605,0.0,206.0,0.07950781141365167,3.0,22.5,113.19999999999999,5,5,7,12,23,35,20,55,12,67,10,77,12,89,32,121,25,146,13,159,8,167,14,181,3,1.281767955801105,0.6584388794698556,136.0,34.6,0.7955801104972375,0.5763865571868928,0.0,0.0,0.0,0.049444444444444444,0.0,0.0
5241704682622953,retweet_tree_5241704682622953.json,856.0,777.0,0.9077102803738317,6.656726524178391,6.393590753950631,0,-1,22,0,0,1,371,0.051666666666666666,0.06888888888888889,0.08388888888888889,19.24054054054054,31.54728719616864,0.0,345.0,0.24231685433422953,1.0,10.5,48.10000000000002,54,54,63,117,49,166,43,209,45,254,30,284,21,305,19,324,22,346,9,355,13,368,3,371,3,1.0377358490566038,0.1613511490494305,358.0,73.6,0.852088948787062,0.9315465595280426,0.0,0.0,0.0,0.021666666666666667,0.0,0.0
